Species	12SRRN	16SRRN	28SRRN	ATP6	ATP8	BDNF	COX1	COX2	COX3	CXCR4	CYTB	NAD1	NAD2	NAD3	NAD4	NAD4L	NAD5	NAD6	NCX1	POMC	RAG1	RAG2	RHOD	SIA	SLC8A3	TYR
Abavorana_luctuosa	KF477635.1	KF477635.1	EU604214.1	-	-	-	-	-	-	-	KR264180.1	-	-	-	-	-	-	-	-	-	KR264407.1	-	-	-	-	KR264482.1
Acanthixalus_sonjae	-	KX492593.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KX492745.1	KX492795.1	-	-	-	-	KX492838.1
Acanthixalus_spinosus	AF215214.1	AF465438.1	-	-	-	-	-	-	-	-	AF215488.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Acris_crepitans	AY843559.1	AY843559.1	AY844194.1	-	-	-	KU985874.1	-	-	EF107468.1	EF988145.1	GQ366290.1	-	-	-	-	-	-	EF107244.1	GQ366031.1	EF107304.1	-	AY844533.1	AY844762.1	EF107403.1	AY844019.1
Acris_gryllus	AY843560.1	AY843560.1	-	-	-	-	KJ536151.1	-	-	-	EF988155.1	-	-	-	-	-	-	-	-	EF988268.1	AY844359.1	-	AY844534.1	AY844763.1	-	AY844020.1
Adelastes_hylonomos	-	KM509082.1	-	-	-	KM509213.1	KM509748.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KM509882.1
Adelophryne_adiastola	JX298263.1	JX298299.1	-	-	-	-	JX298340.1	-	-	-	JX298391.1	-	-	-	-	-	-	-	-	JX298121.1	JX298167.1	-	-	-	-	JX298221.1
Adelophryne_baturitensis	JX298249.1	JX298281.1	-	-	-	-	JX298321.1	-	-	-	JX298376.1	-	-	-	-	-	-	-	-	JX298100.1	JX298150.1	-	-	-	-	JX267679.1
Adelophryne_gutturosa	EU186679.1	EU186679.1	GQ345136.1	-	-	-	JX298342.1	-	-	GQ345185.1	JX298393.1	GQ345247.1	-	-	-	-	-	-	GQ345233.1	JX298123.1	JX298170.1	-	GQ345302.1	GQ345312.1	GQ345331.1	JX298224.1
Adelophryne_maranguapensis	JX298253.1	JX298286.1	-	-	-	-	JX298326.1	-	-	-	JX298381.1	-	-	-	-	-	-	-	-	JX298105.1	JX298152.1	-	-	-	-	JX298207.1
